id,race,level,name,hp,mp,sword,strike,gun,fire,ice,elec,wind,light,dark,almighty,drops,appears
1101,Strength,54,Siegfried,0,0,nu,rs,no,no,no,no,no,nu,wk,no,,
1102,Strength,46,White Rider,0,0,no,no,no,rs,wk,no,no,nu,rp,no,,
1103,Strength,36,Hanuman,0,0,rs,no,no,rs,no,no,wk,no,no,no,,
1104,Strength,29,Jikokuten,0,0,rs,no,no,wk,rp,no,no,rs,no,no,,
1105,Strength,22,Matador,0,0,no,no,no,wk,no,no,nu,no,rp,no,,
1106,Strength,15,Rakshasa,0,0,rs,no,rs,no,no,no,wk,wk,no,no,,
1107,Strength,10,Valkyrie,0,0,no,no,rs,wk,rs,no,no,no,no,no,,
1108,Strength P,35,Cerberus,0,0,no,no,no,nu,no,no,no,wk,nu,no,,
1109,Hanged,73,Attis,0,0,rs,rs,rs,nu,no,no,rp,wk,wk,no,,
1110,Hanged,65,Hell Biker,0,0,no,no,no,rp,no,no,rp,wk,no,no,,
1111,Hanged,57,Mada,0,0,no,rs,no,ab,wk,rs,wk,wk,nu,no,,
1112,Hanged,47,Hecatoncheires,0,0,no,rs,rs,no,rs,rs,no,wk,rs,no,,
1113,Hanged,38,Vasuki,0,0,no,no,no,no,rs,rs,wk,rp,no,no,,
1114,Hanged,27,Orthrus,0,0,no,no,no,ab,wk,no,no,no,rs,no,,
1115,Hanged,20,Take-Minakata,0,0,no,no,rs,rs,no,rs,no,wk,wk,no,,
1116,Hanged,10,Inugami,0,0,no,no,no,nu,no,no,wk,no,rs,no,,
1117,Death,78,Thanatos,0,0,no,no,no,rs,rs,rs,rs,wk,rp,no,,
1118,Death,68,Alice,0,0,no,no,no,no,no,no,no,wk,rp,no,,
1119,Death,58,Mot,0,0,no,no,no,no,no,nu,wk,no,rp,no,,
1120,Death,41,Samael,0,0,no,no,no,no,rs,nu,wk,no,nu,no,,
1121,Death,33,Loa,0,0,no,no,no,no,no,rs,no,wk,rs,no,,
1122,Death,23,Pale Rider,0,0,no,no,no,no,no,no,rs,wk,rp,no,,
1123,Death,15,Pisaca,0,0,no,rs,wk,wk,no,rs,no,wk,nu,no,,
1124,Temperance,71,Yurlungur,0,0,no,no,no,rs,no,rs,no,rs,wk,no,,
1125,Temperance,63,Byakko,0,0,no,no,no,wk,nu,rp,no,no,no,no,,
1126,Temperance,55,Suzaku,0,0,no,no,no,rp,wk,no,no,rs,no,no,,
1127,Temperance,44,Okuninushi,0,0,no,no,no,nu,no,rp,wk,rs,no,no,,
1128,Temperance,38,Seiryu,0,0,no,no,no,no,nu,wk,no,no,no,no,,
1129,Temperance,30,Genbu,0,0,no,no,no,no,nu,wk,no,no,no,no,,
1130,Temperance,22,Mitra,0,0,no,no,no,no,nu,wk,no,nu,no,no,,
1131,Temperance,12,Nigi Mitama,0,0,no,no,no,no,no,wk,nu,rs,rs,no,,
1132,Devil,81,Beelzebub,0,0,no,nu,no,wk,no,nu,nu,wk,rp,no,,
1133,Devil,76,Abaddon,0,0,ab,ab,no,nu,wk,no,no,wk,ab,no,,
1134,Devil,65,Lilith,0,0,no,no,no,wk,rs,ab,no,no,nu,no,,
1135,Devil,56,Pazuzu,0,0,no,no,no,no,rp,wk,nu,wk,rs,no,,
1136,Devil,47,Succubus,0,0,no,no,wk,rp,no,no,no,wk,ab,no,,
1137,Devil,37,Incubus,0,0,wk,no,no,nu,no,no,no,wk,nu,no,,
1138,Devil,30,Baphomet,0,0,no,no,no,rs,no,no,wk,wk,nu,no,,
1139,Devil,18,Mokoi,0,0,no,no,no,wk,nu,no,no,no,nu,no,,
1140,Devil,8,Lilim,0,0,no,no,no,no,no,rs,no,wk,rs,no,,
1141,Tower,86,Chi You,0,0,rs,no,rs,no,no,wk,no,no,no,no,,
1142,Tower,82,Shiva,0,0,no,no,nu,no,wk,ab,no,nu,no,no,,
1143,Tower,79,Masakado,0,0,rs,rs,rs,no,no,wk,no,rp,rs,no,,
1144,Tower,75,Mara,0,0,no,ab,no,ab,wk,no,no,wk,ab,no,,
1145,Tower,67,Qitian Dasheng,0,0,no,no,nu,wk,no,no,rs,no,no,no,,
1146,Tower,60,Bishamonten,0,0,no,nu,no,nu,wk,no,no,rs,no,no,,
1147,Tower,40,Cu Chulainn,0,0,no,no,rs,no,wk,rs,rp,no,no,no,,
1148,Tower,31,Eligor,0,0,no,no,rs,nu,no,wk,no,no,rs,no,,
1149,Star,88,Helel,0,0,rs,rs,rs,no,wk,no,no,ab,ab,no,,
1150,Star,76,Saturnus,0,0,no,no,no,ab,wk,no,nu,no,no,no,,
1151,Star,70,Houou,0,0,no,no,wk,ab,rs,wk,nu,ab,no,no,,
1152,Star,64,Garuda,0,0,rs,rs,no,rs,wk,wk,rs,nu,wk,no,,
1153,Star,51,Ganesha,0,0,no,no,nu,no,no,no,ab,no,wk,no,,
1154,Star,42,Kaiwan,0,0,no,no,wk,rs,rs,no,no,no,rs,no,,
1155,Star,29,Setanta,0,0,no,no,rs,wk,no,nu,no,no,wk,no,,
1156,Star,17,Neko Shogun,0,0,no,no,no,no,no,rs,wk,nu,nu,no,,
1157,Moon,80,Sandalphon,0,0,nu,no,no,no,no,rs,no,rp,wk,no,,
1158,Moon,72,Baal Zebul,0,0,no,no,no,wk,rs,rs,rs,wk,rp,no,,
1159,Moon,62,Seth,0,0,no,no,no,rp,wk,no,no,wk,rs,no,,
1160,Moon,56,Chernobog,0,0,nu,no,rs,wk,no,no,no,no,ab,no,,
1161,Moon,49,Dionysus,0,0,no,rs,no,no,no,rp,wk,no,no,no,,
1162,Moon,39,Girimekhala,0,0,rp,no,rp,no,no,no,wk,wk,no,no,,
1163,Moon,25,Yamata-no-Orochi,0,0,wk,no,no,no,nu,nu,no,no,no,no,,
1164,Moon,14,Gurulu,0,0,no,no,no,wk,no,no,rs,wk,nu,no,,
1165,Sun,85,Asura,0,0,no,nu,no,ab,no,no,wk,nu,no,no,,
1166,Sun,78,Vishnu,0,0,no,no,no,no,nu,nu,no,ab,wk,no,,
1167,Sun,67,Horus,0,0,no,no,no,no,rs,nu,no,rp,wk,no,,
1168,Sun,55,Jatayu,0,0,no,no,wk,rs,rs,wk,ab,rs,no,no,,
1169,Sun,45,Quetzalcoatl,0,0,no,no,no,no,nu,no,rs,nu,wk,no,,
1170,Sun,35,Thunderbird,0,0,no,no,wk,no,no,ab,no,nu,no,no,,
1171,Sun,24,Yatagarasu,0,0,no,no,no,no,wk,no,rs,nu,no,no,,
1172,Judgement,91,Messiah,0,0,no,no,no,rs,rs,rs,rs,rp,rp,no,,
1173,Judgement,89,Lucifer,0,0,no,no,no,ab,no,ab,no,no,rp,no,,
1174,Judgement,82,Satan,0,0,no,no,no,rs,rp,no,wk,no,ab,no,,
1175,Judgement,70,Michael,0,0,rs,no,rs,no,no,no,wk,rp,rs,no,,
1176,Judgement,59,Trumpeter,0,0,no,no,no,no,nu,no,wk,rp,nu,no,,
1177,Judgement,40,Anubis,0,0,no,no,no,no,no,no,no,nu,nu,no,,
1178,Aeon,87,Metatron,0,0,no,no,no,rp,rs,wk,rp,rp,wk,no,,
1179,Aeon,73,Ananta,0,0,wk,no,rs,no,ab,wk,no,nu,no,no,,
1180,Aeon,57,Uriel,0,0,rs,no,no,ab,wk,nu,no,nu,wk,no,,
1181,Aeon,47,Nidhoggr,0,0,no,no,rs,no,nu,nu,wk,wk,rs,no,,
