id,race,level,name,hp,mp,phys,fire,ice,elec,wind,light,dark,almighty,drops,appears
1057,Hierophant,7,Omoikane,0,0,no,no,wk,rs,no,no,no,no,,
1058,Lovers,71,Ishtar,0,0,no,no,no,nu,wk,no,no,no,,
1059,Lovers,64,Cybele,0,0,no,rs,nu,wk,no,no,no,no,,
1060,Lovers,53,Raphael,0,0,no,no,rp,no,no,nu,wk,no,,
1061,Lovers,42,Leanan Sidhe,0,0,no,wk,nu,no,rs,no,no,no,,
1062,Lovers,33,Undine,0,0,no,wk,ab,no,no,no,no,no,,
1063,Lovers,25,Queen Mab,0,0,no,no,no,nu,wk,no,no,no,,
1064,Lovers P,34,Himiko,0,0,no,no,no,no,no,no,no,no,,
1065,Chariot,80,Futsunushi,0,0,nu,no,no,no,no,no,wk,no,,
1066,Chariot,72,Atavaka,0,0,nu,no,wk,no,no,nu,no,no,,
1067,Chariot,65,Thor,0,0,rs,no,no,ab,wk,no,no,no,,
1068,Chariot,54,Kin-Ki,0,0,nu,no,no,no,no,no,no,no,,
1069,Chariot,43,Triglav,0,0,rs,no,no,wk,no,no,no,no,,
1070,Chariot,25,Ares,0,0,rs,no,no,no,wk,nu,no,no,,
1071,Chariot,18,Ara Mitama,0,0,rs,no,no,wk,no,no,no,no,,
1072,Chariot,12,Eligor,0,0,rs,no,no,no,no,wk,nu,no,,
1073,Chariot,6,Nata Taishi,0,0,no,rs,no,wk,no,no,no,no,,
1074,Chariot,2,Slime,0,0,rs,wk,no,no,no,no,no,no,,
1075,Chariot P,4,Tomoe,0,0,no,wk,rs,no,no,no,no,no,,
1076,Justice,74,Sraosha,0,0,no,no,no,ab,no,rp,wk,no,,
1077,Justice,66,Melchizedek,0,0,no,no,no,no,no,nu,wk,no,,
1078,Justice,58,Uriel,0,0,no,rp,no,no,no,nu,wk,no,,
1079,Justice,49,Throne,0,0,no,ab,no,no,no,nu,wk,no,,
1080,Justice,38,Dominion,0,0,no,no,no,nu,wk,rp,wk,no,,
1081,Justice,33,Virtue,0,0,no,no,wk,nu,no,nu,wk,no,,
1082,Justice,27,Power,0,0,no,rs,no,wk,nu,no,wk,no,,
1083,Justice,19,Principality,0,0,no,no,no,no,no,nu,wk,no,,
1084,Justice,11,Archangel,0,0,no,no,no,no,no,nu,wk,no,,
1085,Justice,4,Angel,0,0,no,no,no,no,rs,rs,wk,no,,
1086,Hermit,82,Ongyo-Ki,0,0,no,no,no,nu,ab,wk,nu,no,,
1087,Hermit,73,Arahabaki,0,0,rp,wk,wk,no,no,nu,nu,no,,
1088,Hermit,63,Nebiros,0,0,no,rp,no,wk,rs,wk,nu,no,,
1089,Hermit,55,Niddhoggr,0,0,no,no,nu,no,no,wk,nu,no,,
1090,Hermit,48,Kurama Tengu,0,0,no,rs,no,wk,ab,no,no,no,,
1091,Hermit,41,Hitokoto-Nushi,0,0,no,wk,nu,no,nu,no,no,no,,
1092,Hermit,33,Mothman,0,0,no,rs,wk,rp,no,no,no,no,,
1093,Hermit,26,Lamia,0,0,no,rs,no,rs,no,no,nu,no,,
1094,Hermit,17,Ippon-Datara,0,0,no,rs,no,no,no,wk,nu,no,,
1095,Hermit,6,Forneus,0,0,no,no,rs,wk,no,no,nu,no,,
1096,Fortune,72,Norn,0,0,no,no,rs,wk,ab,no,no,no,,
1097,Fortune,65,Atropos,0,0,no,wk,no,no,nu,no,no,no,,
1098,Fortune,58,Ananta,0,0,rs,no,ab,wk,no,no,no,no,,
1099,Fortune,51,Lachesis,0,0,no,no,rs,wk,nu,no,no,no,,
1100,Fortune,44,Clotho,0,0,no,no,no,no,rp,no,no,no,,
1101,Fortune,35,Fortuna,0,0,no,nu,no,wk,nu,no,no,no,,
1102,Fortune P,55,Sukuna-Hikona,0,0,no,no,no,no,no,rs,rs,no,,
1103,Strength,90,Zaou-Gongen,0,0,no,rp,no,wk,no,no,no,no,,
1104,Strength,63,Siegfried,0,0,nu,no,rs,no,wk,no,no,no,,
1105,Strength,50,Kali,0,0,no,no,nu,wk,no,no,nu,no,,
1106,Strength,42,Hanuman,0,0,rs,no,nu,wk,no,no,no,no,,
1107,Strength,30,Oni,0,0,rs,nu,no,no,no,no,no,no,,
1108,Strength,28,Kusi Mitama,0,0,no,no,no,wk,nu,no,no,no,,
1109,Strength,23,Rakshasa,0,0,rs,no,wk,no,no,no,no,no,,
1110,Strength,14,Titan,0,0,no,no,wk,rs,no,no,no,no,,
1111,Strength,8,Valkyrie,0,0,no,no,rs,no,wk,no,no,no,,
1112,Strength,5,Sandman,0,0,no,no,no,wk,rs,no,no,no,,
1113,Hanged,82,Attis,0,0,no,nu,no,no,rp,no,wk,no,,
1114,Hanged,71,Vasuki,0,0,no,no,rs,nu,no,no,wk,no,,
1115,Hanged,66,Hell Biker,0,0,no,rp,no,no,no,wk,no,no,,
1116,Hanged,56,Taowu,0,0,no,wk,no,nu,no,wk,nu,no,,
1117,Hanged,49,Yatsufusa,0,0,no,ab,no,no,rp,nu,no,no,,
1118,Hanged,39,Orthrus,0,0,no,nu,wk,no,no,no,no,no,,
1119,Hanged,27,Makami,0,0,no,nu,wk,no,rs,wk,nu,no,,
1120,Hanged,22,Yomotsu-Ikusa,0,0,no,wk,rs,no,no,no,nu,no,,
1121,Hanged,15,Berith,0,0,no,nu,no,no,wk,no,no,no,,
1122,Death,78,Mahakala,0,0,no,ab,no,rp,no,no,nu,no,,
1123,Death,72,Alice,0,0,no,no,no,no,no,wk,rp,no,,
1124,Death,58,White Rider,0,0,no,nu,wk,no,no,nu,rp,no,,
1125,Death,46,Mot,0,0,no,no,no,nu,wk,no,rp,no,,
1126,Death,36,Samael,0,0,no,no,rs,nu,wk,no,nu,no,,
1127,Death,24,Matador,0,0,no,wk,no,no,no,no,rp,no,,
1128,Death,14,Mokoi,0,0,no,wk,nu,no,no,no,no,no,,
1129,Death,9,Ghoul,0,0,no,wk,nu,no,no,wk,no,no,,
1130,Temperance,73,Vishnu,0,0,no,wk,nu,no,no,nu,no,no,,
1131,Temperance,69,Yurlungur,0,0,no,wk,ab,no,rs,no,no,no,,
1132,Temperance,62,Byakko,0,0,no,wk,ab,nu,no,nu,no,no,,
1133,Temperance,54,Suzaku,0,0,no,rp,wk,no,no,no,no,no,,
1134,Temperance,47,Seiryu,0,0,no,wk,no,no,nu,no,no,no,,
1135,Temperance,40,Genbu,0,0,no,no,nu,wk,no,no,no,no,,
1136,Temperance,31,Mithra,0,0,no,no,nu,wk,no,nu,no,no,,
1137,Temperance,23,Nigi Mitama,0,0,no,no,no,wk,nu,no,no,no,,
1138,Temperance,16,Xiezhai,0,0,no,no,no,nu,wk,no,no,no,,
1139,Temperance,11,Sylph,0,0,no,no,no,wk,rs,no,no,no,,
1140,Temperance,4,Apsaras,0,0,no,wk,no,no,no,no,no,no,,
1141,Devil,81,Beelzebub,0,0,no,ab,nu,rp,no,wk,rp,no,,
1142,Devil,68,Belial,0,0,no,no,no,no,no,no,rp,no,,
1143,Devil,61,Belphegor,0,0,no,no,no,ab,no,wk,rp,no,,
1144,Devil,53,Lilith,0,0,no,no,no,rp,no,wk,nu,no,,
1145,Devil,44,Succubus,0,0,no,rp,no,no,no,wk,nu,no,,
1146,Devil,37,Pazuzu,0,0,no,no,rp,no,no,wk,no,no,,
1147,Devil,28,Incubus,0,0,no,nu,no,no,no,wk,nu,no,,
1148,Devil,19,Vetala,0,0,no,wk,no,no,rs,no,rs,no,,
1149,Devil,10,Lilim,0,0,no,no,no,no,no,wk,rs,no,,
1150,Devil,3,Ukobach,0,0,no,rs,wk,no,no,no,no,no,,
1151,Tower,80,Shiva,0,0,no,no,ab,rp,no,no,no,no,,
1152,Tower,75,Yoshitsune,0,0,nu,rs,no,rp,no,rp,no,no,,
1153,Tower,69,Masakado,0,0,nu,nu,no,wk,no,no,wk,no,,
1154,Tower,62,Mara,0,0,no,ab,no,no,rs,wk,rp,no,,
1155,Tower,55,Abaddon,0,0,no,nu,rs,no,no,wk,rp,no,,
1156,Tower,46,Cu Chulainn,0,0,rs,no,wk,no,rp,no,no,no,,
1157,Tower,35,Taotie,0,0,no,no,no,no,no,no,rp,no,,
1158,Star,87,Helel,0,0,rs,nu,no,no,wk,nu,nu,no,,
1159,Star,75,Saturnus,0,0,no,ab,wk,no,nu,no,no,no,,
1160,Star,67,Kartikeya,0,0,no,no,no,rp,no,no,no,no,,
1161,Star,57,Garuda,0,0,no,no,no,wk,rp,rp,no,no,,
1162,Star,50,Ganesha,0,0,no,no,no,wk,nu,no,no,no,,
1163,Star,43,Fuu-Ki,0,0,no,wk,no,no,no,no,no,no,,
1164,Star,32,Neko Shogun,0,0,rs,no,no,rp,wk,nu,nu,no,,
1165,Star,24,Kaiwan,0,0,wk,no,no,no,no,no,nu,no,,
1166,Star P,35,Kintoki-Douji,0,0,no,no,rs,wk,no,no,no,no,,
1167,Moon,84,Sandalphon,0,0,no,no,no,no,nu,rp,wk,no,,
1168,Moon,77,Baal Zebul,0,0,no,wk,ab,no,no,no,nu,no,,
1169,Moon,68,Seth,0,0,no,no,rp,wk,no,no,no,no,,
1170,Moon,57,Sui-Ki,0,0,no,wk,ab,rp,no,no,no,no,,
1171,Moon,48,Girimehkala,0,0,rp,no,no,no,no,wk,wk,no,,
1172,Moon,41,Alraune,0,0,no,rs,rs,no,wk,no,nu,no,,
1173,Moon,34,Yamata-no-Orochi,0,0,no,wk,nu,nu,wk,no,no,no,,
1174,Moon,27,Nozuchi,0,0,no,no,wk,rp,no,no,no,no,,
1175,Moon,20,Andras,0,0,no,no,no,nu,wk,no,no,no,,
1176,Sun,86,Asura,0,0,no,nu,rs,no,wk,nu,no,no,,
1177,Sun,77,Suparna,0,0,no,no,no,wk,nu,no,no,no,,
1178,Sun,68,Horus,0,0,no,wk,no,nu,no,rp,no,no,,
1179,Sun,61,Jatayu,0,0,no,no,no,wk,ab,no,no,no,,
1180,Sun,53,Tam Lin,0,0,rs,rs,no,nu,no,nu,no,no,,
1181,Sun,47,Narasimha,0,0,rs,wk,no,no,no,nu,no,no,,
1182,Sun,40,Yatagarasu,0,0,no,no,wk,no,rs,nu,no,no,,
1183,Sun,31,Gdon,0,0,no,ab,wk,no,no,no,no,no,,
1184,Sun,20,Phoenix,0,0,no,no,wk,nu,no,no,no,no,,
1185,Sun,10,Cu Sith,0,0,no,wk,no,no,rs,no,no,no,,
1186,Judgement,93,Lucifer,0,0,rs,no,no,no,no,wk,nu,no,,
1187,Judgement,90,Ardha,0,0,rs,no,nu,nu,no,no,no,no,,
1188,Judgement,83,Metatron,0,0,no,nu,no,no,no,rp,wk,no,,
1189,Judgement,76,Satan,0,0,no,rp,no,no,wk,no,rp,no,,
1190,Judgement,72,Michael,0,0,rs,nu,no,no,wk,nu,no,no,,
1191,Judgement,67,Trumpeter,0,0,no,no,ab,rp,no,rp,nu,no,,
1192,Judgement,59,Anubis,0,0,no,no,no,no,no,nu,no,no,,
1193,Aeon,74,Kaguya,0,0,no,wk,no,no,rs,nu,nu,no,,
1194,Aeon,65,Lakshmi,0,0,no,wk,nu,no,no,nu,no,no,,
1195,Aeon,58,Kingu,0,0,no,wk,no,rs,no,no,rs,no,,
1196,Aeon,51,Quetzalcoatl,0,0,no,no,no,no,rs,nu,wk,no,,
1197,Aeon,44,Kushinada-Hime,0,0,no,no,no,no,no,nu,wk,no,,
1198,Aeon,37,Raja Naga,0,0,rs,wk,no,nu,no,no,no,no,,
1199,Aeon,31,Sati,0,0,no,nu,wk,no,no,no,no,no,,
1200,Aeon,24,Narcissus,0,0,wk,no,rs,rs,rs,no,no,no,,
1201,Aeon,18,Ame-no-Uzume,0,0,no,no,no,wk,nu,nu,no,no,,
1202,Jester,77,Magatsu-Izanagi,0,0,no,no,no,no,no,nu,nu,no,,
1203,Jester,68,Seiten Taisei,0,0,rs,wk,no,no,rs,no,no,no,,
1204,Jester,62,Chernobog,0,0,rs,no,no,no,wk,no,nu,no,,
1205,Jester,55,Kumbhanda,0,0,no,ab,no,no,wk,no,no,no,,
1206,Jester,47,Baphomet,0,0,no,no,no,no,no,wk,nu,no,,
1207,Jester,40,Loa,0,0,no,no,no,no,rs,wk,rs,no,,
1208,Jester,34,Pale Rider,0,0,no,no,no,no,rs,wk,nu,no,,
1209,Jester,27,Take-Minakata,0,0,rs,no,no,rs,no,wk,wk,no,,
1210,Jester,20,Gurr,0,0,no,no,no,no,rs,wk,rs,no,,
1211,World,91,Izanagi-no-Okami,0,0,rs,rs,rs,rs,rs,no,no,no,,
