19,Priestess,40,Mountain Girl,445,246,no,no,wk,no,no,nu,no,no,rs,no,no,"",Casino
20,Priestess,26,She of Life and Death,464,272,no,no,no,no,no,no,wk,no,nu,no,no,"",Pyramid
21,Priestess,25,Koh-i-Noor D,1530,180,rs,wk,no,no,no,no,no,no,no,no,no,"",Spaceport
22,Priestess,11,Waterside Nymph,145,105,no,no,wk,rs,wk,no,no,no,no,no,no,"",Museum
23,Priestess,6,Troublesome Housemaid,142,66,no,no,wk,rs,wk,no,no,no,no,no,no,"",Castle
24,Empress,81,Decadent False God,1700,289,rp,rp,wk,ab,no,no,nu,no,no,wk,no,"",Laboratory
25,Empress,63,The Blackened Fury,1773,623,no,rp,nu,no,no,no,rp,no,no,rs,no,"",Cruiser
26,Empress,56,Scandalous Queen,740,378,no,no,no,no,no,no,wk,rs,rs,rs,no,"",Cruiser
27,Empress,50,Bloodthirsty Demoness,442,276,no,nu,rs,no,no,no,no,no,no,no,no,"",Cruiser
28,Empress,26,Slithering Snakewoman,291,192,no,no,no,wk,rs,no,no,wk,no,nu,no,"",Pyramid
29,Empress,20,Human-Eating Lady,262,132,no,nu,no,rs,no,no,no,wk,no,no,no,"",Bank
30,Empress,15,Queen's Necklace D,970,120,rs,rs,no,no,no,no,wk,no,no,no,no,"",Bank
31,Emperor,82,Reviled Dictator,1026,328,rs,no,rs,no,no,ab,no,no,rs,no,no,"",Laboratory
32,Emperor,66,Unfaithful Dream-King,894,360,no,no,no,no,rs,no,nu,wk,no,no,no,"",Cruiser
33,Emperor,61,Monarch of Snow,893,328,no,no,no,ab,no,no,no,no,nu,no,no,"",Cruiser
34,Emperor,52,Dancing Lion,625,426,no,rs,no,no,rs,wk,no,no,nu,wk,no,"",Cruiser
35,Emperor,36,Chanting Baboon,321,264,no,no,no,no,no,no,wk,nu,nu,rs,no,"",Pyramid
36,Emperor,16,War-Hungry Horseman,285,108,no,no,rs,no,wk,no,no,no,no,rs,no,"",Castle
37,Emperor,10,Regent D,720,93,rs,rs,no,no,no,no,no,wk,no,no,no,"",Museum
38,Hierophant,25,Thief of Tablets,281,189,no,wk,no,no,rs,rp,no,wk,no,no,no,"",Pyramid
39,Hierophant,17,Equine Sage,262,195,no,no,no,wk,no,rs,no,no,no,rs,no,"",Bank
40,Hierophant,9,Brutal Cavalryman,474,72,no,nu,rs,wk,no,no,no,no,no,no,no,"",Castle
41,Lovers,56,Destructive Beauty,432,402,no,no,no,rp,no,no,rs,no,rs,wk,no,"",Cruiser
42,Lovers,48,Self-Infatuated Star,465,70,no,no,wk,no,nu,rs,no,no,rs,no,no,"",Cruiser
43,Lovers,42,Lamenting Sacrifice,374,261,no,no,no,wk,no,no,no,wk,rp,no,no,"",Casino
44,Lovers,19,Jealous Lover,265,129,no,no,wk,no,no,rs,rs,no,no,no,no,"",Bank
45,Lovers,13,Captivating Dancer,238,120,no,no,ab,no,no,no,wk,no,no,no,no,"",Museum
46,Lovers,2,Beguiling Girl,174,14,no,wk,no,wk,rs,no,no,no,rs,wk,no,"",Castle
47,Chariot,64,Thunder Emperor,1033,568,rs,no,no,no,nu,no,no,no,rs,rs,no,"",Depths
48,Chariot,55,Guard Dog of Hades,736,393,no,no,ab,wk,no,no,no,rs,no,no,no,"",Cruiser
49,Chariot,25,Samurai Killer,392,144,rs,rp,no,no,no,no,no,no,no,no,no,"",Kaitul
50,Chariot,18,Bringer of Misfortune,617,111,nu,nu,no,no,no,no,no,wk,nu,nu,no,"",Museum
51,Chariot,10,Viscid Rotting Meat,121,72,rs,rs,wk,no,no,wk,no,no,no,no,no,"",Qimranut
52,Chariot,3,Apprentice in a Jug,150,54,no,rs,no,no,rs,wk,no,no,no,no,no,"",Castle
53,Justice,72,Fire Assassin,757,426,no,no,nu,no,no,nu,no,wk,rp,no,no,"",Qliphoth
54,Justice,68,Merciless Inquisitor,600,235,no,no,no,no,wk,no,no,rp,nu,wk,no,"",Qliphoth
55,Justice,58,Pagan Savior,718,321,no,no,no,no,no,wk,rs,no,ab,nu,no,"",Depths
56,Justice,41,Divine Warrior,307,291,no,no,no,no,no,rs,no,no,nu,wk,no,"",Casino
57,Justice,14,Heavenly Punisher,190,117,no,no,no,no,wk,no,no,no,nu,wk,no,"",Castle
58,Justice,9,Zealous Messenger,152,78,no,wk,no,no,rs,no,no,no,nu,wk,no,"",Castle
59,Hermit,86,Evil Voracious Dragon,2006,658,rp,rp,ab,no,rs,no,no,ab,no,no,no,"",Laboratory
60,Hermit,70,Dream-Dwelling Skull,404,221,no,no,rs,no,nu,no,wk,rs,wk,no,no,"",Laboratory
61,Hermit,42,Life-Draining Spirit,418,252,no,no,nu,no,no,no,wk,no,no,rs,no,"",Spaceport
62,Hermit,35,Awakened God,420,167,rp,rp,no,no,no,no,wk,wk,rs,rs,no,"",Spaceport
63,Hermit,31,Monk of the Valley,560,228,no,no,no,nu,no,rp,no,no,rs,rs,no,"",Akzeriyyuth
64,Hermit,24,Cavern Snakeman,321,159,no,rs,no,no,nu,wk,no,no,no,no,no,"",Pyramid
65,Hermit,17,Noisy Mountain Spirit,159,150,no,no,no,wk,no,rp,no,wk,no,no,no,"",Chemdah
66,Hermit,13,Embittered Blacksmith,365,96,no,rs,rs,wk,no,rp,no,no,rs,rs,no,"",Aiyatsbus
67,Hermit,9,Leafy Old Man,188,93,no,no,wk,rs,no,rs,no,no,no,no,no,"",Museum
68,Hermit,4,Dirty Two-Horned Beast,132,51,no,no,no,no,wk,no,no,no,no,rs,no,"",Castle
69,Fortune,52,Final Assessor,738,421,no,no,no,no,rp,ab,no,no,rs,no,no,"",Casino
70,Fortune,20,Stone of Scone D,1250,150,rs,rs,wk,no,no,no,no,no,no,no,no,"",Pyramid
71,Strength,74,Deformed Lion God,727,345,no,no,ab,nu,no,wk,no,no,no,wk,no,"",Laboratory
72,Strength,64,Nimble Monkey King,332,336,no,rs,no,wk,no,no,rs,no,rs,no,no,"",Cruiser
73,Strength,44,Funerary Warrior,524,261,no,rs,wk,rp,no,no,no,no,nu,no,no,"",Casino
74,Strength,30,Orlov D,1650,210,rs,rs,no,no,no,no,no,no,no,wk,no,"",Casino
75,Strength,24,Battle Fiend,289,144,rs,nu,rs,no,no,wk,no,no,wk,rs,no,"",Bank
76,Strength,20,Chivalrous Fiend,421,120,rs,rs,no,no,no,no,no,no,no,no,no,"",Bank
77,Strength,15,Rooftop Lion,212,96,rs,no,no,no,no,no,wk,no,nu,wk,no,"",Museum
78,Strength,6,Mad Marsh Horse,128,63,no,no,no,rs,wk,no,no,no,no,no,no,"",Castle
79,Hanged,73,Dancer of Death,593,232,no,no,no,no,rs,no,no,no,wk,nu,no,"",Laboratory
80,Hanged,60,Sacrificial Pyrekeeper,751,402,no,no,ab,wk,rs,rs,ab,no,no,nu,no,"",Depths
81,Hanged,51,Arrogant Vulture,629,399,no,no,no,rs,no,rp,no,wk,rs,no,no,"",Casino
82,Hanged,35,Emperor's Amulet D,1990,240,rs,rs,no,no,wk,no,no,no,no,no,no,"",Cruiser
83,Hanged,26,Defeated Avenger,760,354,no,no,no,no,rp,no,wk,no,no,rs,no,"",Bank
84,Hanged,21,Twin-Headed Guardian,365,186,no,no,ab,wk,no,no,no,rs,no,no,no,"",Bank
85,Hanged,14,Possessing Dog Ghost,223,105,no,nu,nu,no,no,wk,no,no,no,nu,no,"",Museum
86,Hanged,9,Girl of the Hanging Tree,169,105,no,wk,rp,wk,no,no,no,no,no,no,no,"",Museum
87,Death,72,Coffin-Borne God,1100,468,no,rs,no,no,ab,wk,no,no,no,rp,no,"",Qliphoth
88,Death,62,The Black Avenger,750,342,no,rs,wk,ab,nu,no,no,no,wk,ab,no,"",Depths
89,Death,40,Hope Diamond D,2300,270,rs,rs,no,wk,no,no,no,no,no,no,no,"",Depths
90,Death,28,Corpse-Eating Corpse,315,204,no,no,wk,no,rs,no,no,no,wk,nu,no,"",Akzeriyyuth
91,Death,20,Night Chimera,312,168,no,no,wk,rs,no,no,no,no,no,nu,no,"",Museum
92,Death,9,Night-Walking Warrior,230,75,no,no,no,no,rs,wk,no,no,no,no,no,"",Museum
93,Death,3,Gallows Flower,163,48,no,no,wk,no,rs,no,no,no,no,no,no,"",Castle
94,Temperance,15,Hunting Wolf Spirit,305,111,no,nu,no,no,wk,rs,no,rs,nu,no,no,"",Museum
95,Temperance,11,Foolish Monk,168,87,no,no,no,wk,no,rs,no,no,wk,no,no,"",Museum
96,Devil,82,Missionary of Depravity,1200,512,nu,no,no,rs,no,no,no,no,no,nu,no,"",Laboratory
97,Devil,74,Wandering Reviver,532,324,rs,no,no,no,no,no,nu,no,wk,rs,no,"",Laboratory
98,Devil,58,Heretic Goat,666,444,no,no,rs,no,no,no,no,no,wk,nu,no,"",Cruiser
99,Devil,32,Woman Who Brings Ruin,365,228,no,no,no,rs,no,wk,no,no,wk,nu,no,"",Spaceport
100,Devil,27,Menacing Owlman,354,85,no,no,wk,rs,no,no,rs,no,wk,nu,no,"",Pyramid
101,Devil,5,Bedside Brute,115,66,no,no,wk,no,rs,no,no,no,wk,no,no,"",Castle
102,Tower,73,Throbbing King of Desire,1840,546,no,nu,ab,no,no,no,rp,no,rs,nu,no,"",Qliphoth
103,Tower,60,Torn King of Desire,530,315,no,no,rs,wk,wk,no,wk,rs,no,rs,no,"",Qliphoth
104,Tower,37,Ambassador of Filth,548,300,no,no,wk,rs,rs,no,no,rs,no,rp,no,"",Spaceport
105,Star,84,Warped Abyss,1294,659,no,no,rs,no,no,ab,nu,no,no,nu,no,"",Laboratory
106,Star,52,Raging Bird God,504,366,no,no,no,no,no,rs,no,no,rp,no,no,"",Cruiser
107,Star,36,Wishless Star,380,273,no,nu,no,no,no,no,nu,wk,no,no,no,"",Spaceport
108,Star,23,Tornado Devil,307,186,no,rs,no,no,wk,ab,no,no,no,no,no,"",Kaitul
109,Star,11,Wavering Tree Spirit,194,105,no,no,wk,rs,no,no,no,no,no,no,no,"",Aiyatsbus
110,Moon,70,Evil Synthetic Organism,558,264,no,no,nu,wk,no,nu,no,wk,no,nu,no,"",Laboratory
111,Moon,60,Harlot of Desire,650,477,no,no,wk,rp,no,no,no,rp,no,nu,no,"",Depths
112,Moon,43,Rebellious Elephant,1623,569,rp,rp,rs,no,no,no,no,no,wk,nu,no,"",Spaceport
113,Moon,33,Vampire Moth,354,180,no,wk,no,no,nu,no,rs,no,no,no,no,"",Spaceport
114,Moon,24,Raging Water Demon,312,168,no,rs,no,ab,rs,no,no,wk,no,no,no,"",Kaitul
115,Moon,18,Pulsing Mud,270,182,rs,rs,no,rs,wk,no,wk,no,wk,nu,no,"",Bank
116,Moon,12,Corpse Bird,206,102,no,no,rs,wk,no,no,no,no,wk,nu,no,"",Museum
117,Moon,7,Twilight Prostitute,148,81,no,no,rs,no,no,wk,no,no,wk,nu,no,"",Castle
118,Sun,53,Auspicious Pachyderm,836,279,rs,rs,no,no,no,ab,wk,no,no,no,no,"",Casino
119,Sun,39,Dark Sun,455,297,rs,rs,ab,no,no,no,wk,rp,no,no,no,"",Spaceport
120,Sun,34,Storm-Invoking Ptarmigan,370,212,no,no,no,no,ab,no,wk,no,no,wk,no,"",Spaceport
121,Judgement,75,Abyssal King of Avarice,7000,400,ab,ab,no,no,no,no,no,no,rs,ab,no,"",Depths
122,Judgement,64,Drunken Serpents,1193,480,rs,no,no,ab,no,rs,no,no,no,rs,no,"",Depths
123,Judgement,34,Bearer of the Scales,1621,762,no,rs,no,no,no,no,rs,no,nu,nu,no,"",Pyramid
124,Faith,76,Spear-Wielding General,1021,315,rs,rs,no,no,wk,rp,no,no,nu,no,no,"",Laboratory
125,Faith,65,Infuriated Wisdom King,760,345,rs,nu,rp,no,no,no,no,no,no,rs,no,"",Cruiser
126,Faith,60,Orichalcum D,2620,375,rs,rs,no,no,no,no,no,no,wk,no,no,"",Laboratory
127,Faith,39,Expressionless Beast,495,222,no,no,no,nu,no,no,rs,no,nu,wk,no,"",Casino
128,Councillor,71,Hedonistic Braggart,708,426,no,no,no,no,rp,no,no,no,nu,nu,no,"",Laboratory
129,Councillor,32,Vicious Pentagram,249,121,wk,no,rp,no,no,no,no,rs,no,rs,no,"",Spaceport
